Rønnevangen 185E,8471 Sabro,27.200.000,04-01-2022,124 ,219.355,2021
Lykkeshøj 22,5330 Munkebo,2.225.000,04-01-2022,127 ,17.520,2007
Bagerstræde 6,3720 Aakirkeby,752.629,04-01-2022,178 ,4.228,1976
Sommervej 1,4040 Jyllinge,1.400.000,04-01-2022,75 ,18.667,1990
Kirkevej 17,6960 Hvide Sande,1.100.000,04-01-2022,135 ,8.148,1960
Rønnevangen 185B,8471 Sabro,27.200.000,04-01-2022,120 ,226.667,2021
Rønnevangen 185D,8471 Sabro,27.200.000,04-01-2022,125 ,217.600,2021
Rønnevangen 185H,8471 Sabro,27.200.000,04-01-2022,124 ,219.355,2021
Vestergårds Alle 62,8362 Hørning,5.195.000,04-01-2022,192 ,27.057,2011
Ulkærvej 27,7441 Bording,3.500.000,04-01-2022,0 ,92.105,1970
Sletten 28,6950 Ringkøbing,1.775.000,03-01-2022,36 ,49.306,1946
Hejrevej 10,4350 Ugerløse,1.270.000,03-01-2022,105 ,12.095,1970
Bakken 11,4440 Mørkøv,1.650.000,03-01-2022,135 ,12.222,1937
Gøggårdsvej 4,7760 Hurup Thy,1.150.000,03-01-2022,195 ,5.897,1930
Kirkevænget 39,4200 Slagelse,1.895.000,03-01-2022,167 ,11.347,1972
Badstuestræde 9 st. th,1209 København K,1.997.000,03-01-2022,91 ,21.945,1800
Eriksborgvej 89,8600 Silkeborg,658.000,03-01-2022,115 ,5.264,1958
Kulagervej 21,4653 Karise,4.445.000,03-01-2022,149 ,29.832,1952
Trindelvej 7,9990 Skagen,2.350.000,03-01-2022,130 ,18.077,1950
Mosevej 17,4330 Hvalsø,2.805.000,03-01-2022,138 ,20.326,1968
Enebærvej 37,8600 Silkeborg,3.200.000,03-01-2022,214 ,14.953,1979
Hjortevænget 69,5800 Nyborg,1.300.000,03-01-2022,107 ,12.150,1978
Jeppe Åkjær Vej 18,7182 Bredsten,2.400.000,03-01-2022,187 ,12.834,1976
Møllegade 10,6670 Holsted,998.000,03-01-2022,90 ,11.089,1960
Bjernæsvej 4,4970 Rødby,210.000,03-01-2022,144 ,1.458,1959
Gaysvej 292,4736 Karrebæksminde,945.000,03-01-2022,47 ,20.106,1971
Bavnebjærgspark 18,3520 Farum,2.025.000,03-01-2022,131 ,15.458,1980
Byvej 12,4532 Gislinge,276.250,03-01-2022,204 ,1.354,1917
Høstvej 14 st. tv,2800 Kongens Lyngby,23.900.000,03-01-2022,150 ,159.333,1875
